,Star_Rating,Review_Title,Pros,Cons,Review_Title_sentiment_score_normalization,Pros_And_Cons,Pros_And_Cons_sentiment_score_normalization,Review_Title_sentiment_score_vader,Pros_And_Cons_sentiment_score_vader,Review_Title_Flair,Pros_And_Cons_Flair
1692,5.0,great enviroment,great working enviroment good people,"no, not really i can think of",0.5,"great working enviroment good peopleno, not really i can think of",0.29,0.62,0.79,0.9920265078544617,0.9941006302833557
1693,5.0,Supportive Work Environment,"I've been so impressed with how seamless, organized, and informative onboarding has been considering everyone has been remote. Even during these times, I have been checked in on regularly and I feel very supported by and included in my team. Everyone has been very warm and friendly. The company has been doing a lot of exciting things. The benefits are fantastic","So far so good, no complaints :)",0.67,"I've been so impressed with how seamless, organized, and informative onboarding has been considering everyone has been remote. Even during these times, I have been checked in on regularly and I feel very supported by and included in my team. Everyone has been very warm and friendly. The company has been doing a lot of exciting things. The benefits are fantasticSo far so good, no complaints :)",0.25,0.3,0.96,0.9963535070419312,0.9981288313865662
1694,5.0,Is FB the standard?,"The compensation is good but you'll spend most of it paying for housing in and around the Bay area. Also helps that you can offset your food expenses at home if you eat on campus. I'm based in MPK so the on/off campus perks are a plenty. You got gyms, an onsite dental / eye clinic, a massage therapist, an acupuncturist, access to campus Ubers and shuttles, the many many food cafes, sweet shops, food trucks, dry cleaning, Ship-It, a nail salon and barber shop, a bike rental/bike repair shop, and if you need to learn how to bike lessons, you can get that too. AR/VR, a print shop, ERO groups, life-style sessions, micro-kitchens - God I miss the micro-kitchens, the numerous off-site perks and discounts, the Dogs@FB Workplace group, the Tiger King@FB Workplace group, the Sad Meals WFH@FB Workplace group, no formal dress code, a park on the roof, ginger shots, Mark's weekly Q&A, other Q&As with various leaders and world experts, work from your desk or work from some random spot, the library, the product vending machine, the FB 15+ cause of how much you'll eat, the health benefits for a single person with no dependents, company stock and 401K, company products (Portal, IG, etc.), and company swag. Yes this is a real review and no I'm not being paid to vomit sweet nothings. In truth, I've never worked for anything like FB and I've worked for some top notch companies at different phases in my life. I love my team, my peers, my org, my leaders. I know it's going to be hard for me to find a replacement should I, someday, decide to leave FB. And while I realize FB isn't rainbows and unicorns cause it has issues, anytime you have people of different ages, genders, nationalities, political leanings, etc. in one place you're going to have issues but its pretty damn close to perfect. I'm over 40 (I feel 20) so I understand that for others my outlook may be a bit different and hell who knows in a few years I may feel different about the company. One thing though, I don't regret the interview loops nor my decision to leave another top tech org in the Bay area. I look forward to FB's evolution and seeing it continue to be successful.","PTO is alright. The Performance Review process is stressful, feels like I'm prepping to take the SATs, GREs, LSAT or MCAT every 4 months. I'm saddened by the prospect that one day I may no longer view FB as a glorious place and like others pursue other shiny objects in hopes of making more money with less effort.",0.0,"The compensation is good but you'll spend most of it paying for housing in and around the Bay area. Also helps that you can offset your food expenses at home if you eat on campus. I'm based in MPK so the on/off campus perks are a plenty. You got gyms, an onsite dental / eye clinic, a massage therapist, an acupuncturist, access to campus Ubers and shuttles, the many many food cafes, sweet shops, food trucks, dry cleaning, Ship-It, a nail salon and barber shop, a bike rental/bike repair shop, and if you need to learn how to bike lessons, you can get that too. AR/VR, a print shop, ERO groups, life-style sessions, micro-kitchens - God I miss the micro-kitchens, the numerous off-site perks and discounts, the Dogs@FB Workplace group, the Tiger King@FB Workplace group, the Sad Meals WFH@FB Workplace group, no formal dress code, a park on the roof, ginger shots, Mark's weekly Q&A, other Q&As with various leaders and world experts, work from your desk or work from some random spot, the library, the product vending machine, the FB 15+ cause of how much you'll eat, the health benefits for a single person with no dependents, company stock and 401K, company products (Portal, IG, etc.), and company swag. Yes this is a real review and no I'm not being paid to vomit sweet nothings. In truth, I've never worked for anything like FB and I've worked for some top notch companies at different phases in my life. I love my team, my peers, my org, my leaders. I know it's going to be hard for me to find a replacement should I, someday, decide to leave FB. And while I realize FB isn't rainbows and unicorns cause it has issues, anytime you have people of different ages, genders, nationalities, political leanings, etc. in one place you're going to have issues but its pretty damn close to perfect. I'm over 40 (I feel 20) so I understand that for others my outlook may be a bit different and hell who knows in a few years I may feel different about the company. One thing though, I don't regret the interview loops nor my decision to leave another top tech org in the Bay area. I look forward to FB's evolution and seeing it continue to be successful.PTO is alright. The Performance Review process is stressful, feels like I'm prepping to take the SATs, GREs, LSAT or MCAT every 4 months. I'm saddened by the prospect that one day I may no longer view FB as a glorious place and like others pursue other shiny objects in hopes of making more money with less effort.",0.03,0.0,0.99,-0.8448371887207031,0.9946929812431335
1695,4.0,Good Company,"- Good Pay
- Competitive Benefit
- Lots of freedom in choosing teams and projects. Wide variety of projects
- Less bureaucracy than some other older companies","- Bad PR affects morale
- Could be quite cut-throat
- Things are moving slower with more politics than it used to",0.5,"- Good Pay
- Competitive Benefit
- Lots of freedom in choosing teams and projects. Wide variety of projects
- Less bureaucracy than some other older companies- Bad PR affects morale
- Could be quite cut-throat
- Things are moving slower with more politics than it used to",0.1,0.44,0.78,0.9899877905845642,0.8371940851211548
1696,5.0,Incredible Place to Work!,"Top of the market pay with incredible benefits. You’ll work with really smart people in a fast paced, bottom up environment. For a massive company, they really do care about their employees and seem to always put them first - their COVID response has been incredible.",Bottom up engineering culture can feel disorganized and inefficient at times.,0.67,"Top of the market pay with incredible benefits. You’ll work with really smart people in a fast paced, bottom up environment. For a massive company, they really do care about their employees and seem to always put them first - their COVID response has been incredible.Bottom up engineering culture can feel disorganized and inefficient at times.",0.16,0.0,0.81,0.9991181492805481,0.9824690818786621
1697,5.0,Amazing 1st Job,"+ perks
+ pay
+ flexibility
+ clout","- can be bureaucratic
- moral cognitive dissonance",0.33,"+ perks
+ pay
+ flexibility
+ clout- can be bureaucratic
- moral cognitive dissonance",0.0,0.59,0.25,0.9914379715919495,0.9960035681724548
1698,5.0,Even after 3 years I feel so lucky to work here.,"- After 3 years in the office living and breathing the beautiful campus and delicious food - I have never been more impressed with this company and how its navigating the impacts of COVID 29. They have made remote work seamless and enjoyable. 
- Management is incredible. Facebook invest so much time and money in their managers and it shows. 
- Work life balance is pretty spectacular and there is a lot of mental health support. 
- Internal mobility is great - I was a recruiting coordinator for 2 years and finally applied/ started interviewing. After interviewing for 3 roles, I landed this incredible role on a team I admire.
- Lets not leave out the perks - commuter benefits, laundry, food, medical, dental, equipment, events (pre COVID) & more",I can't think of any cons outside of the 15% of my job that's administrative (but who doesn't have that),0.4,"- After 3 years in the office living and breathing the beautiful campus and delicious food - I have never been more impressed with this company and how its navigating the impacts of COVID 29. They have made remote work seamless and enjoyable. 
- Management is incredible. Facebook invest so much time and money in their managers and it shows. 
- Work life balance is pretty spectacular and there is a lot of mental health support. 
- Internal mobility is great - I was a recruiting coordinator for 2 years and finally applied/ started interviewing. After interviewing for 3 roles, I landed this incredible role on a team I admire.
- Lets not leave out the perks - commuter benefits, laundry, food, medical, dental, equipment, events (pre COVID) & moreI can't think of any cons outside of the 15% of my job that's administrative (but who doesn't have that)",0.21,0.56,0.97,0.9970341920852661,0.9997523427009583
1699,5.0,Sourcer,Love it! Freedom to grow,You'll love it too much,0.0,Love it! Freedom to growYou'll love it too much,0.6,0.0,0.93,0.999254047870636,0.9978061318397522
1700,2.0,Great place if you get the right group - Horrible if you don't,"People here can be wonderful, caring people who truly value you as a person. The parent company does want to see you succeed and tries to help you all the time. I used to be very happy here working with the best people I ever worked with. Benefits are excellent.","If you get in the wrong group you are screwed. Certain areas like fabrication have horrible management. They do not care one bit about you; just get the work done. No concern for career development, you're stuck here forever. Don't bother applying for fabrication jobs, the management only hires their old friends from their previous job. If you don't suck up like crazy they will make your time here miserable. Being subservient is the only way to succeed with them. Lots of poor decisions but no accountability so those poor decisions made by people who lack knowledge in the area continue.",0.17,"People here can be wonderful, caring people who truly value you as a person. The parent company does want to see you succeed and tries to help you all the time. I used to be very happy here working with the best people I ever worked with. Benefits are excellent.If you get in the wrong group you are screwed. Certain areas like fabrication have horrible management. They do not care one bit about you; just get the work done. No concern for career development, you're stuck here forever. Don't bother applying for fabrication jobs, the management only hires their old friends from their previous job. If you don't suck up like crazy they will make your time here miserable. Being subservient is the only way to succeed with them. Lots of poor decisions but no accountability so those poor decisions made by people who lack knowledge in the area continue.",-0.05,0.15,0.12,-0.6113102436065674,-0.9953263998031616
1701,5.0,Hands down the best place I've ever worked - not a typical sales job,"Management cares about you a person first and foremost, incredibly smart and transparent senior leadership (weekly q&a's where you can ask mark ANYTHING), work is super challenging but rewarding when you think about scale of impact, incentivized to think about the client's business - more of a consultative partner than ever a salesperson","It's a competitive environment so have to be ready to be surrounded by superstars, data-driven so always looking to quantify impact",0.25,"Management cares about you a person first and foremost, incredibly smart and transparent senior leadership (weekly q&a's where you can ask mark ANYTHING), work is super challenging but rewarding when you think about scale of impact, incentivized to think about the client's business - more of a consultative partner than ever a salespersonIt's a competitive environment so have to be ready to be surrounded by superstars, data-driven so always looking to quantify impact",0.2,0.64,0.94,0.9985583424568176,0.9960610270500183
1702,5.0,Facebook is genuinely awesome,Facebook has amazing culture and a strong emphasis on engineering emphasis. Plus the benefits are incredible.,"Performance review cycles can be stressful and you're surrounded by very talented engineers, so it's difficult not to feel imposter syndrome sometimes.",0.33,"Facebook has amazing culture and a strong emphasis on engineering emphasis. Plus the benefits are incredible.Performance review cycles can be stressful and you're surrounded by very talented engineers, so it's difficult not to feel imposter syndrome sometimes.",0.09,0.62,0.8,0.8993950486183167,0.9877701997756958
1703,5.0,Great place to work,Great people to work with,Work life balance can be hard to find,0.67,Great people to work withWork life balance can be hard to find,0.12,0.62,0.57,0.9945878982543945,0.9969956874847412
1704,5.0,Great Company,Great company with great benefits and perks,"Culture in some teams can be a little toxic, performance bar is really high",0.5,"Great company with great benefits and perksCulture in some teams can be a little toxic, performance bar is really high",0.17,0.62,0.9,0.991626501083374,0.9728800058364868
1705,5.0,Incredible Place to Drive Impact,"Autonomy, Leadership Team, Benefits, Global Impact",Work/Life Balance Not Always Achieved,0.25,"Autonomy, Leadership Team, Benefits, Global ImpactWork/Life Balance Not Always Achieved",0.1,0.0,0.38,0.999303936958313,-0.6009584069252014
1706,5.0,great place to work,amazing people and perks. great for career growth.,no complaints here. would recommend working here.,0.67,amazing people and perks. great for career growth.no complaints here. would recommend working here.,0.2,0.62,0.83,0.9945878982543945,0.9664498567581177
1707,5.0,Great place for a partnerships career,"Facebook has a great culture, some of the smartest people in the tech/ads/media space, lots of resources for learning, ERGs, ability to really do your best work, and tons of perks.","Can sometimes get boxed into a role without much latitude for initiative. Advancement or promotion is capped for certain roles, without much logic. Extremely competitive environment can sometimes get cutthroat. Executives often bring in their own people hired for roles that they aren't qualified for- they hire from outside vs internal promotion.",0.25,"Facebook has a great culture, some of the smartest people in the tech/ads/media space, lots of resources for learning, ERGs, ability to really do your best work, and tons of perks.Can sometimes get boxed into a role without much latitude for initiative. Advancement or promotion is capped for certain roles, without much logic. Extremely competitive environment can sometimes get cutthroat. Executives often bring in their own people hired for roles that they aren't qualified for- they hire from outside vs internal promotion.",0.09,0.62,0.96,0.996446430683136,0.9606923460960388
1708,5.0,Committed to its mission,"Well articulated mission, values, philosophies. Committed to the mission of providing people with tools to build communities. Strong leadership, Great onboarding program. Friendly people.",Could be thrifty. There are probably many opportunities to save costs.,0.0,"Well articulated mission, values, philosophies. Committed to the mission of providing people with tools to build communities. Strong leadership, Great onboarding program. Friendly people.Could be thrifty. There are probably many opportunities to save costs.",0.19,0.27,0.97,0.9986886382102966,0.989535391330719
1709,5.0,Awesome Employer,"Culture, People, Leadership, Diversity and Inclusion",There are no negatives to report.,0.5,"Culture, People, Leadership, Diversity and InclusionThere are no negatives to report.",0.0,0.62,-0.3,0.9924969673156738,0.9973089694976807
1710,5.0,You won't grow faster anywhere else,Personal & Career Growth is well-optimized here.,"If you're not looking to grow, you will struggle.",0.25,"Personal & Career Growth is well-optimized here.If you're not looking to grow, you will struggle.",0.0,0.0,0.08,0.9879142642021179,0.9971334934234619
1711,5.0,Noob,Extremely professional and knowledgeable team mates.,On-boarding was difficult through Covid-19,0.0,Extremely professional and knowledgeable team mates.On-boarding was difficult through Covid-19,0.0,-0.05,-0.36,-0.8860769271850586,0.995821475982666
1712,5.0,Great culture and leadership from the top,"- people are smart, leadership cares about the people, trade-offs are conducted thoughtfully","There are bad eggs anywhere, but FB generally does a good job of calling those people out. Sometimes we overpivot on the feelings aspect and lose some good people.",0.5,"- people are smart, leadership cares about the people, trade-offs are conducted thoughtfullyThere are bad eggs anywhere, but FB generally does a good job of calling those people out. Sometimes we overpivot on the feelings aspect and lose some good people.",0.04,0.71,0.7,0.9962149262428284,-0.9180606007575989
1713,3.0,Takes good care of employees but question the values of the company,Great perks and people there.,Strongly disagree with stances made re: gender and racial equality,0.14,Great perks and people there.Strongly disagree with stances made re: gender and racial equality,0.0,0.77,0.36,-0.9211841821670532,0.7681254148483276
1714,5.0,Great company,They care about their employees,Work life balance can be rough,0.5,They care about their employeesWork life balance can be rough,-0.2,0.62,0.49,0.991626501083374,0.9843254089355469
1715,5.0,The best work of your life,"You get to do some of the most rewarding work of your life at the scale of Facebook, with some of the best people and support systems. Fast paced with high expectations, an open culture and diverse workplace.",None at this time AFAICT,0.67,"You get to do some of the most rewarding work of your life at the scale of Facebook, with some of the best people and support systems. Fast paced with high expectations, an open culture and diverse workplace.None at this time AFAICT",0.24,0.64,0.89,0.9989940524101257,0.9969544410705566
1716,5.0,Great Onboarding Process,"*Truly feels like a mission driven company
*Tremendous support for people
*Open culture","*It's a big company, so it is impossible to know everything that might be relevant
*The open culture means there is a ton of conversation which can make it difficult to figure out what is relevant and what is not",0.33,"*Truly feels like a mission driven company
*Tremendous support for people
*Open culture*It's a big company, so it is impossible to know everything that might be relevant
*The open culture means there is a ton of conversation which can make it difficult to figure out what is relevant and what is not",0.0,0.62,0.4,0.9965404272079468,0.9919618964195251
1717,5.0,We redefine impact,"The strength is in the attitude and the commonality of intent. 
One of the most talented set of people I cross path with. 
Amazing alignment on the mission. 
The support network is solid and amplifies individuals strengths.
Awareness that we can be the crazy ones who are going to change the world, for the better.",We are still in our teenage years in product design,0.0,"The strength is in the attitude and the commonality of intent. 
One of the most talented set of people I cross path with. 
Amazing alignment on the mission. 
The support network is solid and amplifies individuals strengths.
Awareness that we can be the crazy ones who are going to change the world, for the better.We are still in our teenage years in product design",0.13,0.0,0.93,0.9977079629898071,0.9989727735519409
1718,5.0,Good,Great work life balance and leave options,Large corporate environment with corresponding HR policies,1.0,Great work life balance and leave optionsLarge corporate environment with corresponding HR policies,0.18,0.44,0.6,0.9313952922821045,0.9898666143417358
1719,4.0,Work at FB,"Pay and Benefits
Plenty of Opportunities to learn and explore
Employees are very well taken care of",Very stressful given there are 2 review cycles per year,0.5,"Pay and Benefits
Plenty of Opportunities to learn and explore
Employees are very well taken care ofVery stressful given there are 2 review cycles per year",0.06,0.0,0.75,-0.5200924873352051,0.989316999912262
1720,5.0,great,great company with great innovations,nothing specific to mention. everything is okay,1.0,great company with great innovationsnothing specific to mention. everything is okay,0.25,0.62,0.88,0.99007648229599,0.9901335835456848
1721,5.0,I like it here,"Fun and fast paced culture, interesting problems to solve, company bends over backwards to please employees, coworkers are smart and pull their weight, opportunity to have surprising influence even at the bottom of the ladder. Work-life balance boundaries are largely respected and most engineers work normal 40 hour weeks. Obvious benefits like good pay, free food, free commute, etc","Bottoms-up decision making leads to confusion and a sometimes tense atmosphere. Tech stack doesn't transfer well to other companies. If you don't set boundaries, the job can consume your life. Competitive environment, no guarantee of career progression. Not a good place to coast/slack.",1.0,"Fun and fast paced culture, interesting problems to solve, company bends over backwards to please employees, coworkers are smart and pull their weight, opportunity to have surprising influence even at the bottom of the ladder. Work-life balance boundaries are largely respected and most engineers work normal 40 hour weeks. Obvious benefits like good pay, free food, free commute, etcBottoms-up decision making leads to confusion and a sometimes tense atmosphere. Tech stack doesn't transfer well to other companies. If you don't set boundaries, the job can consume your life. Competitive environment, no guarantee of career progression. Not a good place to coast/slack.",0.17,0.36,0.98,0.9764175415039062,0.6748276352882385
1722,5.0,,Facebook is flexible and has great benefits.,Happiness will depend on your role.,0.0,Facebook is flexible and has great benefits.Happiness will depend on your role.,0.57,0.0,0.72,-0.6754499673843384,0.9430074691772461
1723,5.0,Great place to work,"Really appreciated their response to COVID, I truly feel like this company cares for it's employees.","Can be a bit organizationally confusing, especially for a new hire, but people tend to be very open and supportive",0.67,"Really appreciated their response to COVID, I truly feel like this company cares for it's employees.Can be a bit organizationally confusing, especially for a new hire, but people tend to be very open and supportive",0.1,0.62,0.83,0.9945878982543945,0.9976131916046143
1724,4.0,"So far, so good!","- Great Compensation
- Supportive Peers and Managers
- Given Flexibility to focus on meaningful, and impactful work","- Lack of Ops Structure
- Some managers lack leadership skills, and potential
- Upward mobility isnt always clear",0.5,"- Great Compensation
- Supportive Peers and Managers
- Given Flexibility to focus on meaningful, and impactful work- Lack of Ops Structure
- Some managers lack leadership skills, and potential
- Upward mobility isnt always clear",0.21,0.66,0.64,0.9966592788696289,0.7795215249061584
1725,5.0,Takes care of their employees,The company goes above and beyond to keep their employees happy. The working culture is great. The pay increases and promotions are fair and merit based. There is a good amount of potential for career growth.,None I can think of yet.,0.0,The company goes above and beyond to keep their employees happy. The working culture is great. The pay increases and promotions are fair and merit based. There is a good amount of potential for career growth.None I can think of yet.,0.22,0.49,0.94,0.9967635869979858,0.96627277135849
1726,5.0,Opportunity galore for your unique strengthes\\s,"Expert colleagues
Opportunity for you to carve out where your unique strength can help the company","Large org with confusing at first org chart
High level processes, but not enough lower level process (opportunity here!)",0.25,"Expert colleagues
Opportunity for you to carve out where your unique strength can help the companyLarge org with confusing at first org chart
High level processes, but not enough lower level process (opportunity here!)",0.0,0.42,0.72,0.9972219467163086,0.9988706707954407
1727,5.0,Wonderful overall,"Amazing benefits, flexible hours, great people","Getting big, can be process heavy",0.5,"Amazing benefits, flexible hours, great peopleGetting big, can be process heavy",0.44,0.57,0.91,0.9920921921730042,0.9927458167076111
1728,5.0,Authentic company,"Great people, benefits and an authentic culture",Deep organizations with many layers,0.5,"Great people, benefits and an authentic cultureDeep organizations with many layers",0.38,0.0,0.77,0.9990905523300171,0.997191846370697
1729,5.0,Challenging and rewarding,"Variety of tech work, great benefits and well known company",No balance of life and work for most people,0.0,"Variety of tech work, great benefits and well known companyNo balance of life and work for most people",0.5,0.61,0.83,0.9993640780448914,0.9962433576583862
1730,5.0,SWE Intern Review,"Team culture, perks, immediate impact, structured training and development",Not much really..had a good experience,0.0,"Team culture, perks, immediate impact, structured training and developmentNot much really..had a good experience",0.08,0.0,0.44,0.7768916487693787,-0.5414263606071472
1731,5.0,Excellent company to work for all-around,"I had a little bit of apprehension due to recent negativity in the news, but that is overblown and doesn't impact your day-to-day. There are a tons of perks, you are compensated well, everyone if supportive and you given autonomy rather than being micromanaged. Leadership has really showcased how much they care about the wellbeing of employees during the COVID19 situation.","Nothing major, these are only minor quibbles I could come up with. I'd prefer to live in biking distance but the housing near the office is expensive. The research review process makes it start to feel more academic and less industrial, slowing down the ability to rapid research a bit.",0.5,"I had a little bit of apprehension due to recent negativity in the news, but that is overblown and doesn't impact your day-to-day. There are a tons of perks, you are compensated well, everyone if supportive and you given autonomy rather than being micromanaged. Leadership has really showcased how much they care about the wellbeing of employees during the COVID19 situation.Nothing major, these are only minor quibbles I could come up with. I'd prefer to live in biking distance but the housing near the office is expensive. The research review process makes it start to feel more academic and less industrial, slowing down the ability to rapid research a bit.",0.0,0.57,0.86,0.9980798959732056,0.9673314094543457
1732,5.0,One of the best places to work,"- opportunities to impact millions, billions of people
- bottoms-up meaning you tell your manager what you want to work on
- ability to contribute on work on open source
- ability to work on meaningful projects",- not remote-friendly (I had to move across the US),0.5,"- opportunities to impact millions, billions of people
- bottoms-up meaning you tell your manager what you want to work on
- ability to contribute on work on open source
- ability to work on meaningful projects- not remote-friendly (I had to move across the US)",0.2,0.64,0.83,0.9985405206680298,0.8769543170928955
1733,5.0,Best job and environment I've ever known to exist.,"Work atmosphere is relaxed but challenging. 
Support from peers and managers is consistent and always available.
The ability and opportunities to grow are limitless.
Unlimited sick days...incredible.
Medical insurance is amazing..low premiums and amazing coverage.
Wages are typically above average for competent work elsewhere..always a great plus.
Out-of -state new hires are relocated at entire expense of the company.
Bonuses given twice a year.
Performance reviews are very specific and trackable...very easy to see and continue progress in your work.
Breakfast and lunch are served hot and fresh Monday through Friday. And food is expensed for meals at work outside kitchen hours. In addition a fully stocked snack bar and drinks are provided for your unlimited enjoyment.",Work culture and environment can be fast paced at times and can cause you to feel like you can't keep up. Of course with proper communication support is always available to assist in reaching your goals.,0.17,"Work atmosphere is relaxed but challenging. 
Support from peers and managers is consistent and always available.
The ability and opportunities to grow are limitless.
Unlimited sick days...incredible.
Medical insurance is amazing..low premiums and amazing coverage.
Wages are typically above average for competent work elsewhere..always a great plus.
Out-of -state new hires are relocated at entire expense of the company.
Bonuses given twice a year.
Performance reviews are very specific and trackable...very easy to see and continue progress in your work.
Breakfast and lunch are served hot and fresh Monday through Friday. And food is expensed for meals at work outside kitchen hours. In addition a fully stocked snack bar and drinks are provided for your unlimited enjoyment.Work culture and environment can be fast paced at times and can cause you to feel like you can't keep up. Of course with proper communication support is always available to assist in reaching your goals.",0.25,0.64,0.99,0.9997232556343079,0.9969145059585571
1734,5.0,Great people,"Smart people, interesting projects, great perks","Always some drawbacks to a big company but for what it's worth, it's not buried in too much bureaucracy and is still fast-moving and agile",0.5,"Smart people, interesting projects, great perksAlways some drawbacks to a big company but for what it's worth, it's not buried in too much bureaucracy and is still fast-moving and agile",0.29,0.62,0.77,0.9913948178291321,0.9993574023246765
1735,2.0,Disaster,None worst place ever to work,Worst job ever Wouldn’t do it again,-1.0,None worst place ever to workWorst job ever Wouldn’t do it again,-0.14,-0.62,0.51,-0.9998841285705566,-0.9996923208236694
1736,5.0,Employees first,"* Great pay
* Free breakfast,lunch,dinner
* Effective management culture
* Objective feedback","* big
* some things are slow moving",0.0,"* Great pay
* Free breakfast,lunch,dinner
* Effective management culture
* Objective feedback* big
* some things are slow moving",0.13,0.0,0.88,0.9493701457977295,0.9855602383613586
1737,5.0,"Nice people, nice perks, cool work",Company really takes care of you. Lots of interesting technical work going on and has a reasonable work life balance. I was able to do all of my work with 40 hrs/week of focused work.,Sometimes there can be work overlap between teams. Good thing is that it gives cross-functional development opportunities. Bad thing is that you need to do a disciplined search to see if anyone else is working on the same thing. Don't want to duplicate effort.,0.67,Company really takes care of you. Lots of interesting technical work going on and has a reasonable work life balance. I was able to do all of my work with 40 hrs/week of focused work.Sometimes there can be work overlap between teams. Good thing is that it gives cross-functional development opportunities. Bad thing is that you need to do a disciplined search to see if anyone else is working on the same thing. Don't want to duplicate effort.,0.16,0.78,0.86,0.9889179468154907,0.9985522627830505
1738,5.0,Great People & Encouraging Culture,"People, compensation, benefits, employee resource groups, philanthropic opportunities, and so much more.",some management is inexperienced in the field they are attempting to manage. But! Others are extraordinary (luck of the draw).,0.5,"People, compensation, benefits, employee resource groups, philanthropic opportunities, and so much more.some management is inexperienced in the field they are attempting to manage. But! Others are extraordinary (luck of the draw).",0.11,0.82,0.67,0.98859041929245,0.9988497495651245
1739,5.0,Great place to work,Great place to work. I don't plan on leaving.,Not many. Great company culture.,0.67,Great place to work. I don't plan on leaving.Not many. Great company culture.,0.33,0.62,0.85,0.9945878982543945,0.9884411096572876
1740,5.0,So happy to be here,"Benefit
Culture
best CEO - feels like your friend
Clearly can tell they care about employee
transpafent culture
not top-down at all","You have to be self-driven, but you will get a lot of support",1.0,"Benefit
Culture
best CEO - feels like your friend
Clearly can tell they care about employee
transpafent culture
not top-down at allYou have to be self-driven, but you will get a lot of support",0.3,0.61,0.92,0.9982231259346008,0.9972612857818604
1741,3.0,"Great place to learn, but tough to get behind the mission","Resources of a top notch research university
Incredibly smart people
Culture of learning and curiosity","If you're not on a product/engineering team, you're treated as a different tier of employee
Contract workers are not treated well. That needs to improve.",0.29,"Resources of a top notch research university
Incredibly smart people
Culture of learning and curiosityIf you're not on a product/engineering team, you're treated as a different tier of employee
Contract workers are not treated well. That needs to improve.",0.21,0.2,0.71,0.712985634803772,0.9992926120758057
1742,5.0,Good place to work,"Great benefits, faster career growth.",A little more working stress,0.67,"Great benefits, faster career growth.A little more working stress",0.25,0.44,0.6,0.9780963063240051,0.9892193675041199
1743,5.0,Paradise for research,"Great people, career opportunities, safe working environment, a lot of respect",I cannot think about cons,0.5,"Great people, career opportunities, safe working environment, a lot of respectI cannot think about cons",0.18,0.64,0.86,0.9868306517601013,0.9954198598861694
1744,5.0,Facebook software engineer,"Low work hours, good benefits",In high living cost areas=,0.0,"Low work hours, good benefitsIn high living cost areas=",0.22,0.0,0.2,-0.869420051574707,0.9660540819168091
1745,5.0,Company moving in right direction to create bigger (and secured) impact to society,"Great Culture and Leadership, Lots of impactful projects, Awesome benefits",Projects can seem challenging as the goal is to come up with innovative solutions to help stakeholders,0.11,"Great Culture and Leadership, Lots of impactful projects, Awesome benefitsProjects can seem challenging as the goal is to come up with innovative solutions to help stakeholders",0.12,0.27,0.94,0.9993948936462402,0.9899135828018188
1746,4.0,"Great, Fast Paced, and Challenging",everyone is super helpful and patient with you because they understand the ramp up process is not easy at such a large company. You don't have to be afraid to approach people for help. Obviously the perks are great too.,"It does feel like some employees demand too much from the company in terms of perks. I get the sense that whatever they have is never enough for them. 

The fast past environment can make you stress about your ability to succeed here. Everyone seems to have gone through those emotions though. 

When you're first starting off, it is very likely that you don't know what your job is and that you will spend the first few months trying to figure that out.

The performance review process seems overly complex and stressful",0.25,"everyone is super helpful and patient with you because they understand the ramp up process is not easy at such a large company. You don't have to be afraid to approach people for help. Obviously the perks are great too.It does feel like some employees demand too much from the company in terms of perks. I get the sense that whatever they have is never enough for them. 

The fast past environment can make you stress about your ability to succeed here. Everyone seems to have gone through those emotions though. 

When you're first starting off, it is very likely that you don't know what your job is and that you will spend the first few months trying to figure that out.

The performance review process seems overly complex and stressful",0.08,0.69,0.91,0.9995115995407104,0.9619579315185547
1747,5.0,Engineer,"good food, good manager, good team, overall solid","long commute, a. lot of people",0.0,"good food, good manager, good team, overall solidlong commute, a. lot of people",0.27,0.0,0.83,0.9941195249557495,0.9882479310035706
1748,5.0,Incredible culture with amazing opportunities to do good for others.,Incredibly smart and talented people. Moves fast. Rewards new and better ideas quickly. Awesome culture.,"The negative outside image spent match the inside culture, but still weighs on individuals working there. Also, it moves so fast that teams often find it hard to know what other teams are doing.",0.5,"Incredibly smart and talented people. Moves fast. Rewards new and better ideas quickly. Awesome culture.The negative outside image spent match the inside culture, but still weighs on individuals working there. Also, it moves so fast that teams often find it hard to know what other teams are doing.",0.21,0.85,0.71,0.993057370185852,0.9942291975021362
1749,5.0,Feeling lucky to be here,Surrounded by intelligent people. Nice and open working environment.,You need to learn to be more powerful and impactful.,0.5,Surrounded by intelligent people. Nice and open working environment.You need to learn to be more powerful and impactful.,0.27,0.51,0.84,0.999203622341156,0.9962193369865417
1750,5.0,Good company,Facebook has a very open culture,No cons that are notable,0.5,Facebook has a very open cultureNo cons that are notable,0.0,0.44,0.0,0.9899877905845642,0.937192440032959
1751,4.0,Best company to work,Lot of experience at developing new software,Working from home is not what I wanted,0.67,Lot of experience at developing new softwareWorking from home is not what I wanted,0.0,0.64,0.0,0.9993476271629333,-0.9994421601295471
1752,3.0,"Great pay and perks, but mission is unclear","Excellent quality of life, nice and smart people","Very unclear mission and purpose, lots of internal drama",0.0,"Excellent quality of life, nice and smart peopleVery unclear mission and purpose, lots of internal drama",0.17,-0.04,0.8,-0.7267100811004639,0.9889885783195496
